Provider,Scenario,Config,Wall_Clock_Time,Framework_Time,Adjusted_Wall_Time,Retry_Time,Improvement_Score,Efficiency,Iterations,Retry_Attempts,Scenario_Complexity
mock,cooking_dinner,Mock-Realistic,1.4146156249917112,0.00014125002780929208,1.4146156249917112,0.0,0.19004293569990674,9.98504648993395e-05,2,1,0.4
mock,conference_planning,Mock-Realistic,1.8922684579738416,0.00012216699542477727,1.8922684579738416,0.0,0.2100277612871532,6.456113291429502e-05,2,1,0.6
mock,software_project,Mock-Realistic,3.4071701660286635,0.00015887501649558544,3.4071701660286635,0.0,0.24002005073235683,4.662961013208428e-05,2,1,0.9
mock,travel_planning,Mock-Realistic,3.4825769169838168,0.00013070798013359308,3.4825769169838168,0.0,0.23001613874805854,3.753197222900001e-05,2,1,0.8
mock,cooking_dinner,Mock-Extended,0.9655827499809675,0.00013591599417850375,0.9655827499809675,0.0,0.1400605270521847,0.00014076058647607653,3,1,0.4
mock,travel_planning,Mock-Extended,1.8171581249916926,0.00011899997480213642,1.8171581249916926,0.0,0.18002815934863411,6.5486857288592e-05,3,1,0.8
mock,kitchen_renovation,Mock-Realistic,3.1987704589846544,0.00011833402095362544,3.1987704589846544,0.0,0.2500159072461318,3.6993595655246464e-05,2,1,1.0
mock,software_project,Mock-Extended,2.520944625022821,0.0001354580163024366,2.520944625022821,0.0,0.19002310520684665,5.3733039178205014e-05,3,1,0.9
mock,conference_planning,Mock-Extended,2.727463916002307,6.266601849347353e-05,2.727463916002307,0.0,0.16000987964966068,2.297592944339452e-05,3,1,0.6
gemini,travel_planning,Gemini-Optimized,3.311272958992049,3.311211915977765,3.311272958992049,0.0,0.6599920729893105,0.9999815650914194,2,1,0.8
mock,kitchen_renovation,Mock-Extended,4.193506458017509,0.00013987498823553324,4.193506458017509,0.0,0.20001434270950663,3.335513838737701e-05,3,1,1.0
gemini,cooking_dinner,Gemini-Optimized,3.3066512920195237,3.3066142910392955,3.3066512920195237,0.0,0.6199951883582233,0.9999888101354028,2,1,0.4
gemini,software_project,Gemini-Optimized,3.439919500029646,3.4398735410068184,3.439919500029646,0.0,0.6699942549877066,0.9999866395062945,2,1,0.9
gemini,conference_planning,Gemini-Optimized,3.2865739580010995,3.2865431659738533,3.2865739580010995,0.0,0.6399959713148449,0.9999906309647555,2,1,0.6
gemini,kitchen_renovation,Gemini-Optimized,3.265367374988273,3.2653034160030074,3.265367374988273,0.0,0.6799915775591211,0.9999804129281883,2,1,1.0
gemini,travel_planning,Gemini-Adaptive,4.90902812499553,4.908992083976045,4.90902812499553,0.0,0.609996843033288,0.9999926582169492,3,1,0.8
gemini,cooking_dinner,Gemini-Adaptive,4.956139207992237,4.956048166961409,4.956139207992237,0.0,0.5699921011816632,0.9999816306550307,3,1,0.4
gemini,software_project,Gemini-Adaptive,4.982117082981858,4.98206912499154,4.982117082981858,0.0,0.6199958608086696,0.9999903739736502,3,1,0.9
gemini,conference_planning,Gemini-Adaptive,4.81302008399507,4.812947832979262,4.81302008399507,0.0,0.5899935450224068,0.9999849884242019,3,1,0.6
gemini,kitchen_renovation,Gemini-Adaptive,4.988573957991321,4.988524999993388,4.988573957991321,0.0,0.6299957799685264,0.9999901859733171,3,1,1.0
openai,travel_planning,OpenAI-Efficient,7.463042874995153,7.4630079589551315,7.463042874995153,0.0,0.6599979882338263,0.9999953214740145,2,1,0.8
openai,software_project,OpenAI-Efficient,5.668091542029288,5.6680454590241425,5.668091542029288,0.0,0.6699965039922052,0.9999918697493144,2,1,0.9
openai,cooking_dinner,OpenAI-Efficient,7.575261332967784,7.575200582970865,7.575261332967784,0.0,0.6199965516042911,0.9999919804750953,2,1,0.4
openai,conference_planning,OpenAI-Efficient,5.437902292003855,5.437863958009984,5.437902292003855,0.0,0.6399969687544058,0.9999929505916414,2,1,0.6
openai,kitchen_renovation,OpenAI-Efficient,4.7963619160000235,4.796313375001773,4.7963619160000235,0.0,0.6799956482372237,0.9999898796214505,2,1,1.0
openai,cooking_dinner,OpenAI-Robust,6.972380292019807,6.972332832985558,6.972380292019807,0.0,0.5699970731107783,0.9999931932808794,3,1,0.4
openai,travel_planning,OpenAI-Robust,8.900869583012536,8.900797750044148,8.900869583012536,0.0,0.6099965297574446,0.9999919296684759,3,1,0.8
openai,software_project,OpenAI-Robust,7.028170958044939,7.028113749984186,7.028170958044939,0.0,0.6199964998765297,0.999991860177976,3,1,0.9
claude,travel_planning,Claude-Fast,3.7656027920311317,3.7655577089753933,3.7656027920311317,0.0,0.6599948518962202,0.999988027665628,2,1,0.8
openai,conference_planning,OpenAI-Robust,7.475630166998599,7.475553416996263,7.475630166998599,0.0,0.5899955853218704,0.999989733306675,3,1,0.6
openai,kitchen_renovation,OpenAI-Robust,7.531448833004106,7.531387833005283,7.531448833004106,0.0,0.6299965172704381,0.9999919006289261,3,1,1.0
claude,cooking_dinner,Claude-Fast,4.518163750006352,4.518101499998011,4.518163750006352,0.0,0.6199940755791362,0.9999862222770609,2,1,0.4
claude,software_project,Claude-Fast,4.037221999955364,4.0371624999679625,4.037221999955364,0.0,0.6699936627228865,0.9999852621462476,2,1,0.9
claude,conference_planning,Claude-Fast,3.8628402079921216,3.8627753750188276,3.8628402079921216,0.0,0.6399927829842771,0.9999832162425047,2,1,0.6
claude,kitchen_renovation,Claude-Fast,4.235812667000573,4.2357502080267295,4.235812667000573,0.0,0.6799936594554897,0.9999852545476503,2,1,1.0
claude,cooking_dinner,Claude-Thorough,6.555987917003222,6.555918291036505,6.555987917003222,0.0,0.5699954333098128,0.9999893797902623,3,1,0.4
claude,software_project,Claude-Thorough,5.898455041984562,5.898352208023425,5.898455041984562,0.0,0.6199925033584263,0.9999825659498285,3,1,0.9
claude,conference_planning,Claude-Thorough,5.976041125017218,5.975932875007857,5.976041125017218,0.0,0.5899922109799696,0.9999818859999292,3,1,0.6
claude,kitchen_renovation,Claude-Thorough,6.080867083044723,6.080811124993488,6.080867083044723,0.0,0.6299960430047719,0.9999907976855158,3,1,1.0
claude,travel_planning,Claude-Thorough,43.37623966601677,6.1365536249941215,40.197290122974664,3.1789495430421084,0.24530853233443278,0.14147269731640247,3,3,0.8